datetime,flows,H(sa),H(da),H(sp),H(dp)
2016-06-20 00:00:00,457,4.334708006515435,4.361788090608477,3.5316986199113476,3.4818838815842135
2016-06-20 00:30:00,1243,3.6687667611944637,3.65397747527409,4.032222347687061,3.912921498738809
2016-06-20 01:00:00,572,4.45845830264379,4.383100230543112,3.587056198288032,3.5893587732741823
2016-06-20 01:30:00,2225,2.8966861561447454,2.8850600756616895,4.165138524556029,4.283128447612908
2016-06-20 02:00:00,510,4.198216530806652,4.197532180088102,3.864280445029143,3.1715667703804424
2016-06-20 02:30:00,421,4.384213160577152,4.45216152698314,3.2992714828748957,3.5527376923266853
2016-06-20 03:00:00,338,4.585789646230582,4.66643715985866,3.8547679525521064,3.211860754594273
2016-06-20 03:30:00,355,4.711503603039784,4.919762534565282,3.671355521853539,3.058968060068653
2016-06-20 04:00:00,340,4.685882307092241,4.7914545440215806,3.8571040048342162,2.8252856649539644
2016-06-20 04:30:00,268,4.538662704214803,4.429282950164734,3.6654681357716736,2.801563903607061
2016-06-20 05:00:00,318,4.756193766575523,4.736555183039394,3.4984607497496114,3.2085077777652433
2016-06-20 05:30:00,1521,2.8162301649564268,2.8244580175528924,4.079287826584201,4.012841252291897
2016-06-20 06:00:00,387,4.962394915908413,4.882844325742876,3.74878249336083,3.26585890982916
2016-06-20 06:30:00,348,4.836867789141892,4.768325755326904,3.384170977018086,3.3882536718551632
2016-06-20 07:00:00,362,4.8674656247022,4.7412281037002915,3.610178040420768,3.1556680129380963
2016-06-20 07:30:00,634,4.425368501786979,4.436507485105573,3.991253333119537,3.4734570655191366
2016-06-20 08:00:00,2321,3.8755175836217735,3.9025989608607947,4.3034580341165185,4.215420510270192
2016-06-20 08:30:00,1022,4.928183302395104,4.995606114817225,4.084362361745765,3.648235979785914
2016-06-20 09:00:00,1082,4.877333785354169,4.847194037850913,4.0409947719019685,3.8801544848318166
2016-06-20 09:30:00,1042,5.048087766316559,5.134870125356103,3.9398857126437754,3.944456680484352
2016-06-20 10:00:00,1112,4.941101199125527,5.125660996028611,4.13237975752494,3.654310856368275
2016-06-20 10:30:00,1280,5.017815272331675,5.052307056765202,4.051995626425639,3.9178834331348305
2016-06-20 11:00:00,1574,4.8870681008799615,4.846669495108317,3.9748802159733367,4.153824763820074
2016-06-20 11:30:00,1265,5.110760591797194,5.081769866969798,4.157781036797053,3.8003843201070024
2016-06-20 12:00:00,1147,5.02716603223071,4.99422567983622,4.046282395308015,3.817100173370798
2016-06-20 12:30:00,1129,4.955487738898863,4.962970114128546,4.046507622224526,3.818657455762186
2016-06-20 13:00:00,1232,4.984618814694047,5.000648297355189,4.0256660079969295,3.9010456080356404
2016-06-20 13:30:00,1874,4.622963562602588,4.634288588434396,4.150907324889662,4.171138557681687
2016-06-20 14:00:00,1140,5.019361060629624,4.950150156102962,3.978129296496945,3.871915555754648
2016-06-20 14:30:00,939,5.04027103423028,5.034598474341989,4.088696464860963,3.6011988228032887
2016-06-20 15:00:00,1668,4.475181216069275,4.506855205666976,4.368019099042439,3.8567087011832606
2016-06-20 15:30:00,1307,4.857251574198379,4.904818107210276,4.026553936267315,3.889685702920809
2016-06-20 16:00:00,1292,4.836211798576808,4.739709441394485,4.279928607992588,3.6963689731595415
2016-06-20 16:30:00,1894,4.426785857520964,4.411405514569109,4.136864282395439,4.198782510396426
2016-06-20 17:00:00,5533,3.4706085989534783,3.473768553989476,4.658766481670424,4.63023569708621
2016-06-20 17:30:00,11678,2.7977911433457514,2.800091036788618,4.989357239926918,4.945721516177133
2016-06-20 18:00:00,17497,3.0078317415300835,3.0018908830058915,5.150978206404285,5.128662705507706
2016-06-20 18:30:00,16083,2.934532633957542,2.9461699617126165,5.129983040211439,5.088685664841659
2016-06-20 19:00:00,17831,2.9309542844503715,2.9225597833707377,5.110975346777445,5.184871363898683
2016-06-20 19:30:00,20519,2.697292274147906,2.6905025583586304,5.171601636846256,5.232186509655849
2016-06-20 20:00:00,18149,2.710479305024384,2.711555574763378,5.143709591279536,5.146591153477375
2016-06-20 20:30:00,15929,2.7709652946107868,2.7884892496581184,5.112889713332465,5.089580598417816
2016-06-20 21:00:00,3545,3.20196180966875,3.1666598094089786,4.462001330585505,4.424650417935053
2016-06-20 21:30:00,4113,3.304408030030179,3.342328645420539,4.54693047417914,4.455872682453843
2016-06-20 22:00:00,6387,3.135102082621849,3.1412842735263777,4.678379796639893,4.741223137665511
2016-06-20 22:30:00,1673,3.813802472412136,3.835403748413814,3.9573463524998687,4.221791304242926
2016-06-20 23:00:00,1752,3.603382557112915,3.6070067300534654,4.108078537734573,4.100050969956773
